Episode: 199, total numsteps: 199000, episode steps: 1000, reward: [-475.36579098 -418.44834881 -379.14446386 -374.09892776 -340.70478145]
Episode: 200, total numsteps: 200000, episode steps: 1000, reward: [-475.36579098 -418.32866498 -379.14446386 -374.27124644 -340.70478145]
Episode: 201, total numsteps: 201000, episode steps: 1000, reward: [-475.36579098 -418.45409333 -379.14446386 -374.60874434 -340.70478145]
Episode: 202, total numsteps: 202000, episode steps: 1000, reward: [-475.36579098 -417.50599995 -379.14446386 -373.84651802 -340.70478145]
Episode: 203, total numsteps: 203000, episode steps: 1000, reward: [-475.36579098 -417.73615208 -379.14446386 -374.02332685 -340.70478145]
Episode: 204, total numsteps: 204000, episode steps: 1000, reward: [-475.36579098 -417.33178954 -379.14446386 -374.04986961 -340.70478145]
Episode: 205, total numsteps: 205000, episode steps: 1000, reward: [-475.36579098 -417.93471502 -379.14446386 -374.35044761 -340.70478145]
Episode: 206, total numsteps: 206000, episode steps: 1000, reward: [-475.36579098 -418.11393702 -379.14446386 -374.35680283 -340.70478145]
Episode: 207, total numsteps: 207000, episode steps: 1000, reward: [-475.36579098 -417.14310226 -379.14446386 -373.72723408 -340.70478145]
Episode: 208, total numsteps: 208000, episode steps: 1000, reward: [-475.36579098 -417.89187427 -379.14446386 -373.9093531  -340.70478145]
Episode: 209, total numsteps: 209000, episode steps: 1000, reward: [-475.36579098 -417.44712556 -379.14446386 -374.93756863 -340.70478145]
Episode: 210, total numsteps: 210000, episode steps: 1000, reward: [-475.36579098 -417.67903576 -379.14446386 -374.65257687 -340.70478145]
Episode: 211, total numsteps: 211000, episode steps: 1000, reward: [-475.36579098 -418.24655564 -379.14446386 -374.03036058 -340.70478145]
Episode: 212, total numsteps: 212000, episode steps: 1000, reward: [-475.36579098 -417.94138256 -379.14446386 -374.80324244 -340.70478145]
